Date,Count,temp,humidity,precip,precipcover,windgust,windspeed,winddir,cloudcover,visibility,uvindex,conditions,AQI
4/18/22,363,79.4,71,0.023,4.17,20.8,11.7,108.6,37.4,9.9,10,"Rain, Partially cloudy",25
4/19/22,472,77.3,73.7,0,0,29.1,19.7,16.8,22.1,9.9,8,Partially cloudy,25
4/20/22,500,76.3,62.6,0,0,29.9,22.3,58.9,42.7,9.9,6,Partially cloudy,30
4/21/22,474,76.6,61.1,0,0,27.4,19.9,67,56.7,9.9,10,Partially cloudy,30
4/22/22,581,77.2,66.7,0.017,4.17,30.6,21.9,62,76.8,9.9,7,"Rain, Partially cloudy",33
4/23/22,796,76.7,65.6,0,0,28.9,19.2,70.3,69.8,9.9,8,Partially cloudy,50
4/24/22,754,77.9,65.2,0,0,26.2,17.2,91.9,47.9,9.9,10,Partially cloudy,42
4/25/22,614,78.8,66.4,0.005,4.17,23,15.8,94.8,48.4,9.9,9,"Rain, Partially cloudy",35
4/26/22,586,78.6,63.9,0,0,18.8,13.2,95.2,37.9,9.9,9,Partially cloudy,30
4/27/22,611,78.6,65.7,0,0,21.7,14.5,135.6,33,9.9,6,Partially cloudy,30
4/28/22,410,77.3,74.6,0.381,12.5,27.4,17.5,142,58.7,9.6,8,"Rain, Partially cloudy",21
4/29/22,279,76,68.8,0.017,4.17,23,16,82.7,72.4,9.9,6,"Rain, Partially cloudy",16
4/30/22,291,76.7,77.4,0.492,37.5,26.4,16.1,92,65.3,9.5,8,"Rain, Partially cloudy",14
5/1/22,555,78.5,67.6,0,0,20.8,13.5,93.6,27.2,9.9,10,Partially cloudy,30
5/2/22,461,79.5,69.8,0,0,25.9,18.7,109.8,31.8,9.9,10,Partially cloudy,30
5/3/22,343,79.2,77,0.072,4.17,20.8,14.5,95.4,45.1,9.9,4,"Rain, Partially cloudy",25
5/4/22,388,79.2,79.1,0.005,4.17,13.9,12,85.9,26.2,9.9,9,"Rain, Partially cloudy",27
5/5/22,482,79.7,73.6,0,0,17.9,12,115.4,6.8,9.9,9,Clear,28
5/6/22,581,82.6,69.5,0.08,4.17,20.8,12.2,203.3,20.8,9.8,8,"Rain, Partially cloudy",30
5/7/22,567,81.6,73.6,0.025,12.5,31.2,22.7,249.3,42.8,9.9,6,"Rain, Partially cloudy",31
5/8/22,565,79.7,75.1,0.171,8.33,21.9,13.3,257.1,38.3,9.8,8,"Rain, Partially cloudy",33
5/9/22,588,78.8,74.1,0,0,23.6,17.5,54.8,48,9.9,9,Partially cloudy,33
5/10/22,531,77.1,58.5,0,0,27.5,17.9,37.5,46,9.9,10,Partially cloudy,30
5/11/22,551,74,66.9,0,0,31.2,19.5,2.9,45.1,9.9,8,Partially cloudy,31
5/12/22,514,74.2,73.4,0.035,8.33,21,13.2,23.3,43.4,9.8,8,"Rain, Partially cloudy",30
5/13/22,559,77.1,72.8,0,0,23,14.4,131.7,40.4,9.9,8,Partially cloudy,30
5/14/22,650,78.9,73.1,0.158,12.5,23,13.7,100.1,38.5,9.8,8,"Rain, Partially cloudy",34
5/15/22,543,80.1,77.4,0.468,16.67,20.4,14.2,120.4,47.5,9.7,9,"Rain, Partially cloudy",30
5/16/22,328,79.4,73.6,0.005,4.17,18.8,13.4,208.1,42.2,9.9,10,"Rain, Partially cloudy",25
5/17/22,413,80,72.8,0,0,21,14,147.7,14.3,9.9,9,Clear,28
5/18/22,482,82.6,68.7,0,0,17,14.6,134.5,14.7,9.9,9,Clear,28
5/19/22,428,83.3,72.9,0,0,23.7,16.5,137.2,17.1,9.9,10,Clear,27
5/20/22,119,78.2,86.1,2.779,54.17,35.9,23.1,83.3,62.8,8.5,5,"Rain, Partially cloudy",10
5/21/22,412,83.4,81.8,0,0,24.6,17.5,117.1,65.1,9.7,8,Partially cloudy,23
5/22/22,501,83.6,75.6,0,0,25.5,16.9,113,46.4,9.9,8,Partially cloudy,30
5/23/22,366,82.6,73.4,0.089,8.33,27.7,16.2,107,49.3,9.8,10,"Rain, Partially cloudy",21
5/24/22,390,82.8,67.1,0,0,26.2,17.8,114.3,39.5,9.9,10,Partially cloudy,23
5/25/22,368,82.5,69,0.03,8.33,28.6,17.2,115.7,42.1,9.8,8,"Rain, Partially cloudy",26
5/26/22,441,82.4,66,0,0,23.5,15.8,114.4,20.1,9.9,10,Partially cloudy,27
5/27/22,495,83.4,68.2,0,0,25.3,16.7,144.2,49.4,9.8,8,Partially cloudy,29
5/28/22,550,81.6,74.4,0.078,8.33,31.2,16.4,156.9,30.6,9.8,9,"Rain, Partially cloudy",30
5/29/22,277,77.8,81.2,2.272,25,33.4,22.8,145.5,41.3,9.1,7,"Rain, Partially cloudy",25
5/30/22,344,79.8,75.6,0,0,29.8,17.2,98.8,31.5,9.9,8,Partially cloudy,26
5/31/22,397,80.3,77.5,0.063,4.17,14.8,11.9,72.3,34.7,9.8,9,"Rain, Partially cloudy",26
6/1/22,347,80,79.9,0.686,20.83,20.1,11.7,42.2,49.3,9.6,8,"Rain, Partially cloudy",25
6/2/22,223,78.3,85.6,1.306,16.67,26.4,12.8,106.1,35.4,9.9,10,"Rain, Partially cloudy",22
6/3/22,24,75,91.9,1.817,79.17,31.3,18.6,129.8,94,7.3,2,"Rain, Overcast",10
6/4/22,4,77.9,93.2,4.069,83.33,36.9,18.6,196.4,94.5,6.2,7,"Rain, Overcast",10
6/5/22,424,80,81.3,0,0,16.3,11.8,217.6,41.9,9.9,10,Partially cloudy,30
6/6/22,283,82.1,82.6,0.197,29.17,29.5,14.2,157.2,55,9.7,9,"Rain, Partially cloudy",26
6/7/22,185,78.8,85.9,0.532,16.67,34.4,13.7,187.7,61.6,9.7,7,"Rain, Partially cloudy",24
6/8/22,269,79.5,80.7,0.645,20.83,32.2,13.4,203.7,38.8,9.7,9,"Rain, Partially cloudy",25
6/9/22,174,78.8,84.2,0.223,25,17.9,13.3,239.3,40,9.6,10,"Rain, Partially cloudy",22
